"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030666","GO:0030666","endocytic vesicle membrane",0.192307692307692,0.0102543480446366,0.0490196078431373,18.7537707390649,13.0479391749957,1.12083224754949e-10,4.37124576544301e-09,3.12653205895384e-09,"FZD2/FZD4/FZD5/ROR2/WLS/WNT3/WNT5B/WNT6/WNT7A/WNT7B",10
"GO:0030139","GO:0030139","endocytic vesicle",0.192307692307692,0.0175932441942294,0.0285714285714286,10.9307692307692,9.59553680641383,2.05145368466666e-08,5.33377958013333e-07,3.81498404516959e-07,"FZD2/FZD4/FZD5/ROR2/WLS/WNT3/WNT5B/WNT6/WNT7A/WNT7B",10
"GO:1990909","GO:1990909","Wnt signalosome",0.134615384615385,0.000653463355785664,0.538461538461538,206.002958579882,37.8505141126483,9.28096148351639e-16,7.23914995714278e-14,5.17779956448809e-14,"ADGRA2/DVL1/FZD1/LRP5/LRP6/WNT2/WNT3",7
"GO:0005788","GO:0005788","endoplasmic reticulum lumen",0.134615384615385,0.0157333869508394,0.0223642172523962,8.55603342344556,6.89775390698682,1.62714488922061e-05,0.000253834602718415,0.000181555113955141,"GPC3/NOTUM/WNT3/WNT5B/WNT6/WNT7A/WNT7B",7
"GO:0062023","GO:0062023","collagen-containing extracellular matrix",0.134615384615385,0.0215140243289434,0.0163551401869159,6.25709920920201,5.62844968805903,0.000117839290246714,0.00102127384880485,0.000730465775798343,"GPC3/SFRP1/SFRP2/WNT2/WNT2B/WNT5B/WNT8A",7
"GO:0005796","GO:0005796","Golgi lumen",0.115384615384615,0.00532823967025234,0.0566037735849057,21.655297532656,10.9154721898693,3.31004944947818e-07,6.45459642648245e-06,4.61664791637746e-06,"GPC3/WNT3/WNT5B/WNT6/WNT7A/WNT7B",6
"GO:0030135","GO:0030135","coated vesicle",0.115384615384615,0.0159344525987735,0.0189274447949527,7.24120359136132,5.73434741240391,0.00017154400239642,0.00133804321869207,0.00095703496073792,"DVL1/FZD2/FZD4/FZD5/ROR2/TMED5",6
"GO:0098978","GO:0098978","glutamatergic synapse",0.115384615384615,0.0205589625012567,0.0146699266503667,5.61237539966146,4.82497632342877,0.000666470296360779,0.00399882177816467,0.00286015592770213,"DVL1/FZD4/FZD9/PORCN/ROR2/WNT7A",6
"GO:0030136","GO:0030136","clathrin-coated vesicle",0.0961538461538462,0.0109580778124058,0.0229357798165138,8.77470007057163,5.90884468082461,0.000257979315854451,0.00182930787605884,0.00130841184117569,"DVL1/FZD2/FZD4/FZD5/ROR2",5
"GO:0043025","GO:0043025","neuronal cell body",0.0961538461538462,0.0245300090479542,0.0102459016393443,3.91984552332913,3.34318849305292,0.00876906503544228,0.0359993196191841,0.025748501212102,"DVL1/FZD3/FZD5/LRP6/ROR2",5
"GO:0016328","GO:0016328","lateral plasma membrane",0.0769230769230769,0.00341811601487886,0.0588235294117647,22.5045248868778,9.09339063091263,2.98652417508049e-05,0.000388248142760464,0.00027769435312152,"DVL1/FZD3/NKD2/VANGL2",4
"GO:0030669","GO:0030669","clathrin-coated endocytic vesicle membrane",0.0769230769230769,0.00376998089876345,0.0533333333333333,20.4041025641026,8.61871291566149,4.3975863005994e-05,0.000490016759209648,0.000350484321701907,"FZD2/FZD4/FZD5/ROR2",4
"GO:0045334","GO:0045334","clathrin-coated endocytic vesicle",0.0769230769230769,0.00467477631446667,0.043010752688172,16.4549214226634,7.64757604569473,0.00010203818093257,0.000994872264092556,0.00071158205124029,"FZD2/FZD4/FZD5/ROR2",4
"GO:0030665","GO:0030665","clathrin-coated vesicle membrane",0.0769230769230769,0.00693676485372474,0.0289855072463768,11.0891861761427,6.08842921321436,0.000463539818938979,0.00301300882310336,0.00215505354418999,"FZD2/FZD4/FZD5/ROR2",4
"GO:0031901","GO:0031901","early endosome membrane",0.0769230769230769,0.00980195033678496,0.0205128205128205,7.84773175542406,4.91927436737545,0.00167803992040129,0.00934907955652147,0.0066869259985916,"DKK1/FZD5/LRP6/WLS",4
