"automated_textmining","BEND_MAP_ID","coexpression","combined_score","database_annotated","EdgeBetweenness","experimentally_determined_interaction","gene_fusion","homology","interaction","name","neighborhood_on_chromosome","node1_string_id","node2_string_id","phylogenetic_cooccurrence","selected","shared interaction","shared name"
"0.079","350","0.0","0.914","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT8A","0","9606.ENSP00000377836","9606.ENSP00000426653","0.0","false","interacts with","GPC3 (interacts with) WNT8A"
"0.482","352","0.106","0.718","0.0","40.5","0.44","0","0.0","interacts with","GPC3 (interacts with) NOTUM","0","9606.ENSP00000377836","9606.ENSP00000387310","0.0","false","interacts with","GPC3 (interacts with) NOTUM"
"0.378","354","0.054","0.386","0.0","31.500000000000014","0.0","0","0.0","interacts with","GPC3 (interacts with) RYK","0","9606.ENSP00000377836","9606.ENSP00000478721","0.0","false","interacts with","GPC3 (interacts with) RYK"
"0.106","358","0.105","0.165","0.0","27.0","0.0","0","0.0","interacts with","GPC3 (interacts with) VANGL2","0","9606.ENSP00000377836","9606.ENSP00000357040","0.0","false","interacts with","GPC3 (interacts with) VANGL2"
"0.273","360","0.047","0.277","0.0","27.0","0.0","0","0.0","interacts with","GPC3 (interacts with) WLS","0","9606.ENSP00000377836","9606.ENSP00000346829","0.0","false","interacts with","GPC3 (interacts with) WLS"
"0.132","362","0.0","0.919","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT7B","0","9606.ENSP00000377836","9606.ENSP00000341032","0.0","false","interacts with","GPC3 (interacts with) WNT7B"
"0.057","364","0.0","0.912","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT8B","0","9606.ENSP00000377836","9606.ENSP00000340677","0.0","false","interacts with","GPC3 (interacts with) WNT8B"
"0.14","366","0.044","0.92","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT11","0","9606.ENSP00000377836","9606.ENSP00000325526","0.0","false","interacts with","GPC3 (interacts with) WNT11"
"0.094","368","0.0","0.912","0.9","27.0","0.115","0","0.0","interacts with","GPC3 (interacts with) WNT10B","0","9606.ENSP00000377836","9606.ENSP00000301061","0.0","false","interacts with","GPC3 (interacts with) WNT10B"
"0.362","370","0.058","0.373","0.0","94.50000000000001","0.0","0","0.0","interacts with","GPC3 (interacts with) LRP5","0","9606.ENSP00000377836","9606.ENSP00000294304","0.0","false","interacts with","GPC3 (interacts with) LRP5"
"0.123","372","0.0","0.915","0.9","27.0","0.115","0","0.0","interacts with","GPC3 (interacts with) WNT9B","0","9606.ENSP00000377836","9606.ENSP00000290015","0.0","false","interacts with","GPC3 (interacts with) WNT9B"
"0.281","374","0.075","0.344","0.0","27.0","0.094","0","0.0","interacts with","GPC3 (interacts with) WIF1","0","9606.ENSP00000377836","9606.ENSP00000286574","0.0","false","interacts with","GPC3 (interacts with) WIF1"
"0.126","376","0.0","0.918","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT7A","0","9606.ENSP00000377836","9606.ENSP00000285018","0.0","false","interacts with","GPC3 (interacts with) WNT7A"
"0.172","378","0.141","0.277","0.0","31.500000000000014","0.065","0","0.0","interacts with","GPC3 (interacts with) SFRP2","0","9606.ENSP00000377836","9606.ENSP00000274063","0.0","false","interacts with","GPC3 (interacts with) SFRP2"
"0.132","380","0.0","0.916","0.9","27.0","0.115","0","0.0","interacts with","GPC3 (interacts with) WNT9A","0","9606.ENSP00000377836","9606.ENSP00000272164","0.0","false","interacts with","GPC3 (interacts with) WNT9A"
"0.175","382","0.044","0.198","0.0","27.0","0.065","0","0.0","interacts with","GPC3 (interacts with) SFRP5","0","9606.ENSP00000377836","9606.ENSP00000266066","0.0","false","interacts with","GPC3 (interacts with) SFRP5"
"0.216","384","0.042","0.927","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT2","0","9606.ENSP00000377836","9606.ENSP00000265441","0.0","false","interacts with","GPC3 (interacts with) WNT2"
"0.162","386","0.059","0.177","0.0","94.50000000000001","0.0","0","0.0","interacts with","GPC3 (interacts with) LRP6","0","9606.ENSP00000377836","9606.ENSP00000261349","0.0","false","interacts with","GPC3 (interacts with) LRP6"
"0.078","388","0.0","0.911","0.9","27.0","0.115","0","0.0","interacts with","GPC3 (interacts with) WNT10A","0","9606.ENSP00000377836","9606.ENSP00000258411","0.0","false","interacts with","GPC3 (interacts with) WNT10A"
"0.14","390","0.0","0.919","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT6","0","9606.ENSP00000377836","9606.ENSP00000233948","0.0","false","interacts with","GPC3 (interacts with) WNT6"
"0.159","392","0.0","0.921","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT3","0","9606.ENSP00000377836","9606.ENSP00000225512","0.0","false","interacts with","GPC3 (interacts with) WNT3"
"0.129","394","0.0","0.918","0.9","27.0","0.143","0","0.0","interacts with","GPC3 (interacts with) WNT16","0","9606.ENSP00000377836","9606.ENSP00000222462","0.0","false","interacts with","GPC3 (interacts with) WNT16"
"0.235","396","0.118","0.314","0.0","31.500000000000014","0.065","0","0.0","interacts with","GPC3 (interacts with) SFRP1","0","9606.ENSP00000377836","9606.ENSP00000220772","0.0","false","interacts with","GPC3 (interacts with) SFRP1"
"0.269","398","0.0","0.307","0.0","39.0","0.091","0","0.655","interacts with","MUSK (interacts with) RYK","0","9606.ENSP00000363571","9606.ENSP00000478721","0.0","false","interacts with","MUSK (interacts with) RYK"
"0.197","400","0.065","0.271","0.0","29.111111111111104","0.106","0","0.0","interacts with","MUSK (interacts with) WNT5B","0","9606.ENSP00000363571","9606.ENSP00000380379","0.0","false","interacts with","MUSK (interacts with) WNT5B"
"0.173","402","0.063","0.248","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT8A","0","9606.ENSP00000363571","9606.ENSP00000426653","0.0","false","interacts with","MUSK (interacts with) WNT8A"
"0.162","404","0.0","0.162","0.0","53.0","0.0","0","0.0","interacts with","MUSK (interacts with) NOTUM","0","9606.ENSP00000363571","9606.ENSP00000387310","0.0","false","interacts with","MUSK (interacts with) NOTUM"
"0.094","406","0.0","0.159","0.0","39.5","0.11","0","0.0","interacts with","MUSK (interacts with) SFRP4","0","9606.ENSP00000363571","9606.ENSP00000410715","0.0","false","interacts with","MUSK (interacts with) SFRP4"
"0.249","410","0.0","0.249","0.0","33.0","0.0","0","0.0","interacts with","MUSK (interacts with) VANGL2","0","9606.ENSP00000363571","9606.ENSP00000357040","0.0","false","interacts with","MUSK (interacts with) VANGL2"
"0.249","412","0.0","0.249","0.0","33.0","0.0","0","0.0","interacts with","MUSK (interacts with) WLS","0","9606.ENSP00000363571","9606.ENSP00000346829","0.0","false","interacts with","MUSK (interacts with) WLS"
"0.484","414","0.065","0.531","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT7B","0","9606.ENSP00000363571","9606.ENSP00000341032","0.0","false","interacts with","MUSK (interacts with) WNT7B"
"0.183","416","0.076","0.267","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT8B","0","9606.ENSP00000363571","9606.ENSP00000340677","0.0","false","interacts with","MUSK (interacts with) WNT8B"
"0.623","418","0.063","0.657","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT11","0","9606.ENSP00000363571","9606.ENSP00000325526","0.0","false","interacts with","MUSK (interacts with) WNT11"
"0.158","420","0.0","0.158","0.0","79.0","0.0","0","0.0","interacts with","MUSK (interacts with) PORCN","0","9606.ENSP00000363571","9606.ENSP00000322304","0.0","false","interacts with","MUSK (interacts with) PORCN"
"0.154","422","0.054","0.223","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT10B","0","9606.ENSP00000363571","9606.ENSP00000301061","0.0","false","interacts with","MUSK (interacts with) WNT10B"
"0.2","424","0.052","0.263","0.0","28.000000000000014","0.106","0","0.0","interacts with","MUSK (interacts with) WNT9B","0","9606.ENSP00000363571","9606.ENSP00000290015","0.0","false","interacts with","MUSK (interacts with) WNT9B"
"0.114","426","0.1","0.168","0.0","33.0","0.0","0","0.0","interacts with","MUSK (interacts with) WIF1","0","9606.ENSP00000363571","9606.ENSP00000286574","0.0","false","interacts with","MUSK (interacts with) WIF1"
"0.261","428","0.063","0.327","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT7A","0","9606.ENSP00000363571","9606.ENSP00000285018","0.0","false","interacts with","MUSK (interacts with) WNT7A"
"0.54","430","0.052","0.576","0.0","28.000000000000014","0.106","0","0.0","interacts with","MUSK (interacts with) WNT9A","0","9606.ENSP00000363571","9606.ENSP00000272164","0.0","false","interacts with","MUSK (interacts with) WNT9A"
"0.504","432","0.063","0.548","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT2","0","9606.ENSP00000363571","9606.ENSP00000265441","0.0","false","interacts with","MUSK (interacts with) WNT2"
"0.12","434","0.052","0.189","0.0","33.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT10A","0","9606.ENSP00000363571","9606.ENSP00000258411","0.0","false","interacts with","MUSK (interacts with) WNT10A"
"0.469","436","0.11","0.541","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT6","0","9606.ENSP00000363571","9606.ENSP00000233948","0.0","false","interacts with","MUSK (interacts with) WNT6"
"0.566","438","0.063","0.605","0.0","26.0","0.106","0","0.0","interacts with","MUSK (interacts with) WNT3","0","9606.ENSP00000363571","9606.ENSP00000225512","0.0","false","interacts with","MUSK (interacts with) WNT3"
"0.208","440","0.063","0.279","0.0","30.66666666666668","0.106","0","0.0","interacts with","MUSK (interacts with) WNT16","0","9606.ENSP00000363571","9606.ENSP00000222462","0.0","false","interacts with","MUSK (interacts with) WNT16"
"0.14","442","0.042","0.203","0.0","39.5","0.11","0","0.0","interacts with","MUSK (interacts with) SFRP1","0","9606.ENSP00000363571","9606.ENSP00000220772","0.0","false","interacts with","MUSK (interacts with) SFRP1"
"0.19","444","0.156","0.925","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT8A","0","9606.ENSP00000370297","9606.ENSP00000426653","0.0","false","interacts with","CER1 (interacts with) WNT8A"
"0.104","446","0.055","0.907","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT5B","0","9606.ENSP00000370297","9606.ENSP00000380379","0.0","false","interacts with","CER1 (interacts with) WNT5B"
"0.176","448","0.042","0.176","0.0","32.99340569561159","0.0","0","0.0","interacts with","CER1 (interacts with) NOTUM","0","9606.ENSP00000370297","9606.ENSP00000387310","0.0","false","interacts with","CER1 (interacts with) NOTUM"
"0.156","450","0.052","0.166","0.0","50.80933976154563","0.0","0","0.0","interacts with","CER1 (interacts with) FZD4","0","9606.ENSP00000370297","9606.ENSP00000434034","0.0","false","interacts with","CER1 (interacts with) FZD4"
"0.16","452","0.0","0.16","0.0","29.42197712418302","0.0","0","0.0","interacts with","CER1 (interacts with) SFRP4","0","9606.ENSP00000370297","9606.ENSP00000410715","0.0","false","interacts with","CER1 (interacts with) SFRP4"
"0.393","454","0.0","0.393","0.0","43.07124452345039","0.0","0","0.0","interacts with","CER1 (interacts with) FZD8","0","9606.ENSP00000370297","9606.ENSP00000363826","0.0","false","interacts with","CER1 (interacts with) FZD8"
"0.428","456","0.132","0.482","0.0","84.97600642821227","0.0","0","0.0","interacts with","CER1 (interacts with) DKK1","0","9606.ENSP00000370297","9606.ENSP00000363081","0.0","false","interacts with","CER1 (interacts with) DKK1"
"0.196","460","0.0","0.196","0.0","46.64267309487898","0.0","0","0.0","interacts with","CER1 (interacts with) FZD5","0","9606.ENSP00000370297","9606.ENSP00000354607","0.0","false","interacts with","CER1 (interacts with) FZD5"
"0.149","462","0.067","0.172","0.0","39.49981595202185","0.0","0","0.0","interacts with","CER1 (interacts with) FZD9","0","9606.ENSP00000370297","9606.ENSP00000345785","0.0","false","interacts with","CER1 (interacts with) FZD9"
"0.141","464","0.055","0.911","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT7B","0","9606.ENSP00000370297","9606.ENSP00000341032","0.0","false","interacts with","CER1 (interacts with) WNT7B"
"0.076","466","0.122","0.911","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT8B","0","9606.ENSP00000370297","9606.ENSP00000340677","0.0","false","interacts with","CER1 (interacts with) WNT8B"
"0.226","468","0.108","0.924","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT11","0","9606.ENSP00000370297","9606.ENSP00000325526","0.0","false","interacts with","CER1 (interacts with) WNT11"
"0.184","470","0.0","0.184","0.0","55.809339761545644","0.0","0","0.0","interacts with","CER1 (interacts with) FZD2","0","9606.ENSP00000370297","9606.ENSP00000323901","0.0","false","interacts with","CER1 (interacts with) FZD2"
"0.129","472","0.0","0.909","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT10B","0","9606.ENSP00000370297","9606.ENSP00000301061","0.0","false","interacts with","CER1 (interacts with) WNT10B"
"0.181","474","0.048","0.187","0.0","68.30933976154563","0.0","0","0.0","interacts with","CER1 (interacts with) FRZB","0","9606.ENSP00000370297","9606.ENSP00000295113","0.0","false","interacts with","CER1 (interacts with) FRZB"
"0.192","476","0.0","0.192","0.0","39.49981595202185","0.0","0","0.0","interacts with","CER1 (interacts with) LRP5","0","9606.ENSP00000370297","9606.ENSP00000294304","0.0","false","interacts with","CER1 (interacts with) LRP5"
"0.187","478","0.042","0.915","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT9B","0","9606.ENSP00000370297","9606.ENSP00000290015","0.0","false","interacts with","CER1 (interacts with) WNT9B"
"0.178","480","0.042","0.179","0.0","26.388888888888903","0.0","0","0.0","interacts with","CER1 (interacts with) WIF1","0","9606.ENSP00000370297","9606.ENSP00000286574","0.0","false","interacts with","CER1 (interacts with) WIF1"
"0.151","482","0.067","0.174","0.0","43.07124452345039","0.0","0","0.0","interacts with","CER1 (interacts with) FZD7","0","9606.ENSP00000370297","9606.ENSP00000286201","0.0","false","interacts with","CER1 (interacts with) FZD7"
"0.22","484","0.042","0.22","0.0","78.90457785678372","0.0","0","0.0","interacts with","CER1 (interacts with) DKK2","0","9606.ENSP00000370297","9606.ENSP00000285311","0.0","false","interacts with","CER1 (interacts with) DKK2"
"0.1","486","0.062","0.908","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT7A","0","9606.ENSP00000370297","9606.ENSP00000285018","0.0","false","interacts with","CER1 (interacts with) WNT7A"
"0.193","488","0.042","0.194","0.0","29.42197712418302","0.0","0","0.0","interacts with","CER1 (interacts with) SFRP2","0","9606.ENSP00000370297","9606.ENSP00000274063","0.0","false","interacts with","CER1 (interacts with) SFRP2"
"0.081","490","0.0","0.904","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT9A","0","9606.ENSP00000370297","9606.ENSP00000272164","0.0","false","interacts with","CER1 (interacts with) WNT9A"
"0.26","492","0.056","0.272","0.0","34.916482618688505","0.0","0","0.0","interacts with","CER1 (interacts with) NKD1","0","9606.ENSP00000370297","9606.ENSP00000268459","0.0","false","interacts with","CER1 (interacts with) NKD1"
"0.137","494","0.055","0.911","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT2","0","9606.ENSP00000370297","9606.ENSP00000265441","0.0","false","interacts with","CER1 (interacts with) WNT2"
"0.165","496","0.0","0.165","0.0","39.49981595202185","0.0","0","0.0","interacts with","CER1 (interacts with) LRP6","0","9606.ENSP00000370297","9606.ENSP00000261349","0.0","false","interacts with","CER1 (interacts with) LRP6"
"0.055","498","0.0","0.901","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT10A","0","9606.ENSP00000370297","9606.ENSP00000258411","0.0","false","interacts with","CER1 (interacts with) WNT10A"
"0.117","500","0.055","0.909","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT6","0","9606.ENSP00000370297","9606.ENSP00000233948","0.0","false","interacts with","CER1 (interacts with) WNT6"
"0.438","502","0.06","0.942","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT3","0","9606.ENSP00000370297","9606.ENSP00000225512","0.0","false","interacts with","CER1 (interacts with) WNT3"
"0.055","504","0.055","0.902","0.9","25.0","0.0","0","0.0","interacts with","CER1 (interacts with) WNT16","0","9606.ENSP00000370297","9606.ENSP00000222462","0.0","false","interacts with","CER1 (interacts with) WNT16"
"0.22","506","0.11","0.276","0.0","78.90457785678372","0.0","0","0.0","interacts with","CER1 (interacts with) DKK4","0","9606.ENSP00000370297","9606.ENSP00000220812","0.0","false","interacts with","CER1 (interacts with) DKK4"
"0.243","508","0.0","0.243","0.0","27.859477124183016","0.0","0","0.0","interacts with","CER1 (interacts with) SFRP1","0","9606.ENSP00000370297","9606.ENSP00000220772","0.0","false","interacts with","CER1 (interacts with) SFRP1"
"0.576","510","0.088","0.652","0.0","25.470588235294116","0.172","0","0.0","interacts with","FRZB (interacts with) VANGL2","0","9606.ENSP00000295113","9606.ENSP00000357040","0.0","false","interacts with","FRZB (interacts with) VANGL2"
"0.588","512","0.049","0.648","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT11","0","9606.ENSP00000295113","9606.ENSP00000325526","0.0","false","interacts with","FRZB (interacts with) WNT11"
"0.531","514","0.0","0.595","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT5B","0","9606.ENSP00000295113","9606.ENSP00000380379","0.0","false","interacts with","FRZB (interacts with) WNT5B"
"0.503","518","0.0","0.571","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT7B","0","9606.ENSP00000295113","9606.ENSP00000341032","0.0","false","interacts with","FRZB (interacts with) WNT7B"
"0.549","520","0.078","0.567","0.0","24.0","0.0","0","0.732","interacts with","FRZB (interacts with) FZD8","0","9606.ENSP00000295113","9606.ENSP00000363826","0.0","false","interacts with","FRZB (interacts with) FZD8"
"0.466","522","0.0","0.539","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT10B","0","9606.ENSP00000295113","9606.ENSP00000301061","0.0","false","interacts with","FRZB (interacts with) WNT10B"
"0.459","524","0.0","0.533","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT8A","0","9606.ENSP00000295113","9606.ENSP00000426653","0.0","false","interacts with","FRZB (interacts with) WNT8A"
"0.485","526","0.0","0.512","0.0","25.7857142857143","0.091","0","0.0","interacts with","FRZB (interacts with) RYK","0","9606.ENSP00000295113","9606.ENSP00000478721","0.0","false","interacts with","FRZB (interacts with) RYK"
"0.391","528","0.0","0.474","0.0","24.0","0.173","0","0.0","interacts with","FRZB (interacts with) WNT8B","0","9606.ENSP00000295113","9606.ENSP00000340677","0.0","false","interacts with","FRZB (interacts with) WNT8B"
"0.322","530","0.09","0.403","0.0","26.083333333333325","0.11","0","0.0","interacts with","FRZB (interacts with) ROR2","0","9606.ENSP00000295113","9606.ENSP00000364860","0.0","false","interacts with","FRZB (interacts with) ROR2"
"0.348","532","0.062","0.362","0.0","25.3888888888889","0.0","0","0.0","interacts with","FRZB (interacts with) WLS","0","9606.ENSP00000295113","9606.ENSP00000346829","0.0","false","interacts with","FRZB (interacts with) WLS"
"0.317","534","0.0","0.317","0.0","24.0","0.0","0","0.0","interacts with","FRZB (interacts with) NOTUM","0","9606.ENSP00000295113","9606.ENSP00000387310","0.0","false","interacts with","FRZB (interacts with) NOTUM"
"0.296","536","0.045","0.312","0.0","25.92307692307692","0.06","0","0.0","interacts with","FRZB (interacts with) NKD2","0","9606.ENSP00000295113","9606.ENSP00000296849","0.0","false","interacts with","FRZB (interacts with) NKD2"
"0.286","538","0.0","0.286","0.0","25.7857142857143","0.0","0","0.0","interacts with","FRZB (interacts with) PORCN","0","9606.ENSP00000295113","9606.ENSP00000322304","0.0","false","interacts with","FRZB (interacts with) PORCN"
"0.264","540","0.054","0.274","0.0","24.0","0.0","0","0.719","interacts with","FRZB (interacts with) FZD2","0","9606.ENSP00000295113","9606.ENSP00000323901","0.0","false","interacts with","FRZB (interacts with) FZD2"
"0.197","542","0.0","0.254","0.0","27.87500000000001","0.11","0","0.0","interacts with","FRZB (interacts with) MUSK","0","9606.ENSP00000295113","9606.ENSP00000363571","0.0","false","interacts with","FRZB (interacts with) MUSK"
"0.209","544","0.06","0.224","0.0","24.0","0.0","0","0.744","interacts with","FRZB (interacts with) FZD5","0","9606.ENSP00000295113","9606.ENSP00000354607","0.0","false","interacts with","FRZB (interacts with) FZD5"
"0.188","546","0.074","0.216","0.0","24.0","0.0","0","0.681","interacts with","FRZB (interacts with) FZD4","0","9606.ENSP00000295113","9606.ENSP00000434034","0.0","false","interacts with","FRZB (interacts with) FZD4"
